Scenario Input Parameter,full_form,Full Form,Units,Description,Powertrains,T3CO Component,data_type
aero_drag_imp_curve_sel,Aerodynamic Drag Coefficient Improvement Curve Selection,Aerodynamic Drag Coefficient Improvement Curve Selection,,Complete file path to aero drag improvement curve - cost vs drag coefficient,"Conv, BEV, HEV, FCEV",Optimization,string
avg_speed_mph,Average Trip Speed [MPH],Average Trip Speed,MPH,Average Speed of Vehicle during the drivecycle,"Conv, BEV, HEV, FCEV",TCO - Efficiency,float
constant_trip_distance_mi,Trip Distance for each Shift,Trip Distance for each Shift,,Distance covered during drivecycle,"Conv, BEV, HEV, FCEV",OpportunityCosts: Payload,float
constraint_accel,Optimization Constraint: Select Acceleration Test,Optimization Constraint: Select Acceleration Test,,"Optimization constraint - Acceleration 0-30mph, Acceleration 0-60mph","Conv, BEV, HEV, FCEV",Optimization,bool
constraint_c_rate,Optimization Constraint: Select ESS Charge Rate,Optimization Constraint: Select ESS Charge Rate,,Optimization constraint - Charge Rate,"Conv, BEV, HEV, FCEV",Optimization,bool
constraint_grade,Optimization Constraint: Select Gradeability Test,Optimization Constraint: Select Gradeability Test,,Optimization constraint - Gradeability 1.25% grade and 6% grade,"Conv, BEV, HEV, FCEV",Optimization,bool
constraint_range,Optimization Constraint: Select Range,Optimization Constraint: Select Range,,Optimization constraint - Range,"BEV, HEV, FCEV",Optimization,bool
constraint_trace_miss_dist_percent_on,Optimization Constraint: Select Distance Trace Miss,Optimization Constraint: Select Distance Trace Miss,,Optimization Constraint: Select Distance Trace Miss,"Conv, BEV, HEV, FCEV",Optimization,bool
depreciation_rates_pct_per_yr,Depreciation Rates per Year [%/yr],Depreciation Rates per Year,%/yr,Depreciation rates per year as a vector. Used in calculating residual values year over year,"Conv, BEV, HEV, FCEV","CapitalCosts:Residual, OperatingCosts: Purchasing",list[float]
discount_rate_pct_per_yr,Discount Rate [%/yr],Discount Rate,%/yr,Discount rate per year as a fraction/year to account for time value of money and alternative investment opportunities. This is applied as a constant rate for TCO cost components,"Conv, BEV, HEV, FCEV","OperatingCosts, OpportunityCosts",float
downtime_oppy_cost_dol_per_hr,Downtime Opporunity Cost Rate [$/hr],Downtime Opporunity Cost Rate,$/hr,Opportunity cost of dwell time for fueling vehicle as dollar per hour,"Conv, BEV, HEV, FCEV","OpportunityCosts: Fueling Dwell, Maintenance Downtime",float
drive_cycle,Drive Cycles,Drive Cycles,,"Relative filepath of drivecycle input file(s)  from /t3co/resources/cycles/ folder - accepts single drivecyle path, composite cycles (for example: '[(""EPA_Ph2_rural_interstate_65mph.csv"", .86), (""EPA_Ph2_urban_highway_55mph.csv"", .09), (""EPA_Ph2_transient.csv"", .05)]'), or path to folder containing multiple drivecycles (results in corresponding number of scenarios)","Conv, BEV, HEV, FCEV",RunFASTSim,string
eng_eff_imp_curve_sel,Engine Efficiency Improvement Curve Selection,Engine Efficiency Improvement Curve Selection,,Complete file path to engine efficiency improvement curve - cost vs efficiency,"Conv, BEV, HEV, FCEV",Optimization,string
ess_base_cost_dol,ESS Base Cost [kW],ESS Base Cost,kW,Cost of ESSs packaging in dollars that is added to vehicle.ess_max_kwh * scenario.ess_cost_dol_per_kwh to estimate total ESS cost,"BEV, HEV, FCEV",CapitalCosts: MSRP,float
ess_cost_dol_per_kwh,ESS Cost Per Capacity [$/kWh],ESS Cost Per Capacity,$/kWh,Cost of ESS in dollars per kWh of capacity,"BEV, HEV, FCEV",CapitalCosts: MSRP,float
ess_max_charging_power_kw,ESS Max Charging Power [kW],ESS Max Charging Power,kW,Maximum charging power available in kW (infrastructure dependent) for ESS (Energy Storage Systems like Li-ion battery packs) in xEVs,"BEV, HEV, FCEV",OpportunityCosts: Fueling Dwell,float
fc_cng_ice_cost_dol_per_kw,Fuel Converter CNG Engine Cost Rate [$/kW],Fuel Converter CNG Engine Cost Rate,$/kW,Cost of CNG engine per kW of max power,"Conv, HEV, FCEV",CapitalCosts: MSRP,float
fc_fuelcell_cost_dol_per_kw,Fuel Converter Fuel Cell Cost Rate [$/kW],Fuel Converter Fuel Cell Cost Rate,$/kW,Cost of Hydrogen fuel cells per kW of power for FCEVs,"Conv, HEV, FCEV",CapitalCosts: MSRP,float
fc_ice_base_cost_dol,Fuel Converter IC Engine Base Cost [$],Fuel Converter IC Engine Base Cost,$,"Cost of Fuel Convertor baseline that is added to vehicle.fc_max_kw \* scenario.fc_ice_cost_dol_per_kw to estimate total FC cost baseline that is added to vehicle.fc_max_kw \* scenario.fc_ice_cost_dol_per_kw to estimate total FC cost""","Conv, HEV, FCEV",CapitalCosts: MSRP,float
fc_ice_cost_dol_per_kw,Fuel Converter IC Engine Cost Rate [$/kW],Fuel Converter IC Engine Cost Rate,$/kW,Cost of Internal Combustion Engine per kW of power for Conventional vehicles,"Conv, HEV, FCEV",CapitalCosts: MSRP,float
fdt_available_freetime_hr,Fueling Dwell Time: Available Freetime for Operator Per Dwell [hr],Fueling Dwell Time: Available Freetime for Operator Per Dwell,hr,"Number of hours of dwell time that do not incur opportunity cost penalty (eg., charging vehicle during scheduled lunch stops)","Conv, BEV, HEV, FCEV",OpportunityCosts: Fueling Dwell,float
